forecast,observed
0.109452928,0
1.069217254,0.2016
0,0
0.00336874,0
2.39E-05,0
0,0
0,0
0.000479462,0
0.000114943,0
0.009639691,0.2323
0,0
0,0
0,0
0.770425589,0.3016
0.235877721,2.498
1.34E-05,0
0.003906508,0
0.077673022,0
0,0
1.195787974,0
0.079426016,0.1913
0.047563168,1.4419
0,0
0.488320225,0
1.643165912,0
0.822144422,1.343
0.088006805,0.0934
0.816727114,0.673
0.3818823,2.2006
0.966621445,0
0.190330614,0.7959
0.008265694,0.287
3.559021434,2.5217
1.44520371,7.1881
0.782952503,7.3085
4.161313253,2.3854
1.096461905,3.6158
2.927293076,4.334
8.513392145,0.7788
10.7625703,5.369
18.74251443,2.0469
7.324105947,8.1868
3.304733425,2.6196
27.63915828,13.7486
4.992809186,0.8727
0.038496713,0
1.019590825,2.8489
0.103450433,0.0614
0,0
5.829230124,0.1305
6.157980505,3.7965
0.074267853,0
0,0
0.000304374,0
0.143129296,0.037
0,0
0,0
0,0
0,0
0.000339529,0
0,0
0.007019224,0
0.005085549,0
