forecast,observed
0.002112483,0
0.638216873,0.8043
1.426987359,0.0791
0.162441984,1.0543
1.5655376,1.9348
1.784584259,5.081
0.626885492,0
0.421852209,0
0.073669114,0
0.377425677,0
0.681553592,0.6532
1.11E-05,0
0.129857951,0.2803
0.472328436,0.1448
0.407538922,0
0.114762109,0.2934
1.685291015,1.2876
1.403814004,1.0887
0.223545202,0
0.002279852,0.1576
4.585785403,7.2591
0.260426438,4.2971
0.599942781,0.6362
2.478591875,4.2148
5.241499937,5.0165
6.526604982,8.1013
11.68551758,11.4804
1.274607588,3.5939
0.465600541,0
15.28549468,10.0419
3.326580792,13.9784
6.600392694,2.5999
5.24603387,1.8084
0.309912507,0.6881
